ID,Service_time,Work_load_Average/day_,Hit_target,Disciplinary_failure
1.0,14,265515.6666666667,95.22222222222223,0.05555555555555555
2.0,12,259437.0,94.0,0.5
3.0,18,275035.1935483871,94.41935483870968,0.03225806451612903
4.0,13,271219.0,95.0,0.0
5.0,13,265131.9375,92.625,0.1875
6.0,13,270863.85714285716,94.28571428571429,0.0
7.0,14,295202.4,94.6,0.4
8.0,14,282718.0,88.0,0.5
9.0,16,256668.4,95.2,0.0
10.0,3,264470.4736842105,94.42105263157895,0.0
11.0,13,275481.48,94.04,0.08
12.0,1,271122.75,96.0,0.0
13.0,12,253143.54545454544,93.54545454545455,0.18181818181818182
14.0,14,291595.8947368421,95.52631578947368,0.0
15.0,12,279531.2272727273,93.18181818181819,0.09090909090909091
16.0,24,248642.5,97.5,0.0
17.0,17,273213.0,95.9,0.0
18.0,4,264369.25,95.58333333333333,0.16666666666666666
19.0,12,281129.0,89.33333333333333,0.3333333333333333
20.0,11,263474.9583333333,94.0,0.125
21.0,8,256998.0,94.0,0.3333333333333333
22.0,9,267479.2105263158,94.94736842105263,0.0
23.0,11,301010.0,96.125,0.375
24.0,16,271473.0625,94.0,0.0625
25.0,8,253960.16666666666,95.0,0.0
26.0,13,243242.5,95.75,0.0
27.0,7,299430.6,94.4,0.0
28.0,9,279394.6538461539,94.61538461538461,0.038461538461538464
29.0,13,247793.66666666666,96.0,0.3333333333333333
30.0,6,263365.85714285716,93.71428571428571,0.14285714285714285
31.0,9,340734.5,95.5,0.5
32.0,29,325311.6666666667,93.66666666666667,0.0
33.0,14,265901.1666666667,94.0,0.05555555555555555
34.0,10,261321.1739130435,94.52173913043478,0.0
35.0,14,271219.0,95.0,0.0
36.0,18,270420.60869565216,94.30434782608695,0.2608695652173913
